source,target,weight
284,472,0.044008
284,712,0.050083
284,885,0.053711
284,623,0.08537
286,292,0.044133
286,533,0.066149
286,807,0.133272
286,2481,0.051068
286,609,0.042183
287,1310,0.039877
287,2245,0.044922
287,2622,0.066783
287,2561,0.156626
287,1666,0.09959
288,2507,0.087845
288,298,0.195627
288,1729,0.161486
288,564,0.037231
288,338,0.27732
288,2211,0.061419
288,2501,0.224835
288,1642,0.059456
289,683,0.055669
289,984,0.130183
289,501,0.040004
289,898,0.156869
289,1173,0.060023
289,301,0.049322
289,2111,0.04511
289,2747,0.047246
289,1838,0.081101
290,353,0.041838
290,1409,0.042838
290,452,0.038759
290,1130,0.039628
290,292,0.041914
290,2144,0.049038
290,1863,0.042633
291,575,0.181927
291,2116,0.11342
291,1971,0.047764
291,472,0.04033
291,1714,0.050573
292,2189,0.088834
293,1867,0.036227
294,353,0.044642
294,1585,0.055161
294,1238,0.188644
294,474,0.090228
294,2258,0.063005
294,1240,0.193008
294,2543,0.048021
295,2370,0.107511
295,1970,0.070747
295,2021,0.093841
296,1016,0.041928
296,700,0.074066
296,2094,0.073623
297,778,0.072238
297,507,0.065134
298,2073,0.036271
298,2507,0.044106
298,326,0.039572
298,551,0.036745
299,807,0.136993
299,836,0.064844
299,1815,0.043095
299,1112,0.076425
300,2052,0.037245
300,1179,0.043812
300,1293,0.038937
300,430,0.037379
300,1239,0.048057
301,1433,0.063927
301,1296,0.04841
301,455,0.094471
301,353,0.137567
301,402,0.06318
301,333,0.055825
301,540,0.038479
301,1038,0.074415
301,464,0.036714
301,2027,0.036247
301,893,0.082753
301,325,0.104924
301,987,0.044441
301,586,0.044821
301,647,0.040022
301,1773,0.060906
301,574,0.183259
301,1540,0.154478
301,2449,0.247228
301,1172,0.065358
301,1567,0.053025
301,898,0.077889
301,683,0.045537
301,1238,0.07153
301,2636,0.03756
301,1864,0.041817
301,1645,0.035316
301,1742,0.036308
301,814,0.048391
301,867,0.108107
301,839,0.053513
301,781,0.062874
301,1070,0.089492
301,1923,0.072465
301,479,0.05977
301,1947,0.04719
301,681,0.035665
301,600,0.039544
301,1662,0.084781
301,889,0.063522
301,1041,0.041511
301,1397,0.038757
301,1165,0.052585
301,1249,0.042591
302,1325,0.052361
302,582,0.119394
